id,name,description,price,category,url,image_url,availability,last_updated,in_stock,extraction_method
darwin_0003,Apple Watch Series 6,Nu există descriere disponibilă,315 MDL,Ceasuri Inteligente,https://darwin.md/gadgets/ceasuri-inteligente/apple-watch-series-6,,"Ceas inteligent Apple Watch Series 6 Gray
1.78"" | 44mm | Aluminiu | (M00H3)
Cashback 315 lei
10 499 lei",,False,seleniumbase
darwin_0006,iPhone 12,Nu există descriere disponibilă,315 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/iphone-12,,"Apple iPhone 12 64 GB Green
6.1"" | 12 MP | 4 GB | Single SIM
Cashback 315 lei
10 499 lei",,False,seleniumbase
darwin_0007,Tablete Apple iPad 2020,Nu există descriere disponibilă,240 MDL,Tablete,https://darwin.md/tablete/apple-ipad-2020,,"Apple iPad 2020 10.2-inch (32GB Wi-Fi), Space Gray
10.2″ 32GB Wi-Fi
Cashback 240 lei
7 990 lei",,False,seleniumbase
darwin_0008,Smartphone-uri în credit 0%,Nu există descriere disponibilă,500 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/credit-0,,"Apple iPhone 14 Pro Max 1 TB Deep Purple Deep
6.7"" | 48 MP | 6 GB | Dual SIM
Cashback 1 500 lei
49 999 lei",,False,seleniumbase
darwin_0010,Console Sony PlayStation 5,Nu există descriere disponibilă,420 MDL,Console,https://darwin.md/gaming/console/sony-playstation-5,,"Consolă pentru jocuri Sony PlayStation 5 White
SSD 825 GB, RAM 16 GB
Cashback 420 lei
16 499 lei
-16%
-2 500 lei
13 999 lei",,False,seleniumbase
darwin_0011,Apple iPad Pro 2021,Nu există descriere disponibilă,675 MDL,Tablete,https://darwin.md/tablete/apple-ipad-pro-2021,,"Tabletă Apple iPad Pro 2021 11"" Wi-Fi Gray
8 GB | 256 GB | 12 MP | MHQU3RK/A
Cashback 675 lei
22 490 lei",,False,seleniumbase
darwin_0012,Apple iPad Air 2020,Nu există descriere disponibilă,450 MDL,Tablete,https://darwin.md/tablete/apple-ipad-air-2020,,"Tabletă Apple iPad Air 2020 10.9"" Wi-Fi Gray
4 GB | 64 GB | 12 MP | MYFM2RK/ A
Cashback 450 lei
14 990 lei",,False,seleniumbase
darwin_0016,Apple iPhone 12,"Wide – 12MP, f/1.6, 26mm;
Ultra Wide - 12 MP, f/2.4, 120˚, 13mm.",750 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/apple-iphone-12-2020,,"Apple iPhone 12 Pro Max 128 GB Gold
6.7"" | 12 MP | 6 GB | Single SIM
Cashback 750 lei
24 999 lei",,False,seleniumbase
darwin_0020,Smartphone Samsung Galaxy Flip 3,Nu există descriere disponibilă,516 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/samsung-galaxy-z-flip-3,,"Samsung Galaxy Flip 3 256 GB Green
6.7"" | 12 MP | 8 GB | Single SIM
Cashback 516 lei
17 199 lei",,False,seleniumbase
darwin_0021,Apple iPhone 11,Nu există descriere disponibilă,210 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/apple-iphone-11,,"Apple iPhone 11 64 GB Green
6.1"" | 12 MP | 4 GB | Single SIM
Cashback 210 lei
6 999 lei",,False,seleniumbase
